W,R,PPV
35,94,6.15
35,85,10.8
35,153,2.79
35,87,9.85
35,119,8.33
35,67,19.8
35,127,1.98
35,102,1.65
40,115,5.66
25,287,0.91
25,173,2.36
25,296,1.14
35,197,2.96
35,83,7.6
35,205,1.65
35,204,0.91
35,184,2.52
35,75,5.33
25,185,0.738
35,180,1.33
35,68,9.6
35,227,1.52
40,126,3.07
40,102,3.56
120,147,9.45
120,249,3.18
80,230,2.33
80,105,3.18
65,82,10.7
65,115,5.21
37,197,2.26
37,177,1.74
37,97,8.38
37,198,1.98
37,155,2.25
37,108,6.35
37,200,1.82
37,195,1.12
38.5,163,3.37
38.5,201,3.02
38.5,148,2.29
38.5,149,3.96
38.5,125,4.64
38.5,126,3.43
38.5,166,3.99
38.5,214,1.91
38.5,150,2.03
77,154,4.51
77,205,2.77
77,156,2.16
77,160,3.02
77,141,3.74
77,114,6.48
77,126,7.1
77,122,5.98
77,107,11.2
